window_duration_seconds,aci,adi,bioacoustic_index,ndsi,ndsi_ratio_ba,anthropophony,biophony,spectral_entropy_eas,spectral_entropy_ecu,spectral_entropy_ecv,spectral_entropy_eps,spectral_entropy_eps_kurt,spectral_entropy_eps_skew,temporal_entropy,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,mfcc_01_mean,mfcc_01_std,mfcc_02_mean,mfcc_02_std,mfcc_03_mean,mfcc_03_std,mfcc_04_mean,mfcc_04_std,mfcc_05_mean,mfcc_05_std,mfcc_06_mean,mfcc_06_std,mfcc_07_mean,mfcc_07_std,mfcc_08_mean,mfcc_08_std,mfcc_09_mean,mfcc_09_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,state,recording_id,species_id,common_name,scientific_name,window_index,window_start_seconds,window_end_seconds,window_duration_used,flag_short_window,original_sample_rate,original_channels,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,flag_bandlimit_incompatible
5.2517006802721085,467.00238037109375,2.131335674953475,991.8918820861678,-0.8217711553604271,0.09783272949247643,17303.311786348397,1692.8302213178017,0.2143418516623531,0.6229450476099863,0.28785257867684644,0.3850329366476124,50.03981105226637,6.092410326974145,0.781070087283433,0.006967797875404358,0.008238939568400383,0.15452897281390135,0.08926891130954087,3010.2320364107277,750.1545130366399,2654.675153174796,356.26107523365954,6158.689216647982,1387.5692269975034,-288.177978515625,66.76515197753906,17.066879272460938,11.581485748291016,-8.238076210021973,15.647592544555664,5.903334617614746,9.711577415466309,-4.842662811279297,9.530255317687988,0.7770489454269409,5.57780647277832,3.003176212310791,4.376821994781494,6.993814945220947,5.810107707977295,-1.409912109375,4.975891590118408,-3.9906373023986816,6.907028675079346,-2.2106151580810547,5.378561973571777,-2.654470682144165,4.963712215423584,-0.22571250796318054,6.530412197113037,CA,375492,Streptopelia roseogrisea,African Collared Dove,Streptopelia roseogrisea,0,0.0,5.2517006802721085,5.2517006802721085,True,44100,2,False,False,False,False,False,False
10.0,378.76519775390625,2.194335748146139,1540.9850340136054,0.962773027844185,52.724487493340064,399.7943141859973,21078.95031820808,0.0544152738534861,0.3199387482882766,0.21649461869250697,0.5253684556326831,202.4576350802709,13.363239851430952,0.9238266182362057,0.0075083207339048386,0.003446446033194661,0.4432736113144028,0.058079934998314986,5443.521894995354,341.4573039210459,2484.653428523302,95.3670492865277,8489.200579533812,136.5487489393239,-170.51065063476562,5.280453205108643,-22.4211483001709,5.877678871154785,-30.106616973876953,4.503360748291016,-15.817878723144531,3.778900623321533,-7.736284255981445,2.948312759399414,1.473302960395813,2.1648919582366943,-0.22029078006744385,2.2016348838806152,0.24192729592323303,2.2014853954315186,-2.057600498199463,2.6078667640686035,-0.7046501040458679,2.75374436378479,-1.6605827808380127,2.2894675731658936,-0.710677981376648,2.2914834022521973,1.7859681844711304,2.1636226177215576,CA,952203,Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,0,0.0,10.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,378.76593017578125,2.1954220305130856,1651.027664399093,0.9662470228006032,58.25403226461876,384.5685788159282,22402.670398301663,0.06652271961521572,0.3514578707173245,0.222607221519462,0.5468719889374494,214.62111651634407,13.802621613063836,0.9468540686645587,0.007945333607494831,0.0030656319577246904,0.461424637734192,0.05979148620723724,5531.135298280883,336.67974779785936,2450.2877472877008,112.37117364500352,8418.751200691599,188.2427505723067,-170.08836364746094,4.697076797485352,-24.802595138549805,5.637444496154785,-29.5828914642334,4.716711521148682,-16.643606185913086,4.018445014953613,-7.928403377532959,2.946869134902954,1.9905201196670532,2.4148507118225098,-1.7222274541854858,2.9720346927642822,1.7987029552459717,3.185425281524658,-3.0356028079986572,3.842458486557007,-0.06747311353683472,2.8398196697235107,-2.387371063232422,2.9219212532043457,-0.5401745438575745,2.5412535667419434,1.9641170501708984,1.9325416088104248,CA,952203,Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,1,10.0,20.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,383.4489440917969,2.1906581757564774,1656.0486167800454,0.9645372251321735,55.39716597063291,454.6839742032982,25188.203583127084,0.07113321070076062,0.43246080516806507,0.2571612473551049,0.5042571753056251,209.9984615925794,13.093729772558685,0.8996663055930757,0.007988371886312962,0.004207866732031107,0.46320394833138173,0.06860785933366381,5532.584905532031,416.069263594884,2473.81965634684,99.0570298706737,8476.315957991803,211.0263657980309,-170.1806182861328,5.803033351898193,-22.757892608642578,6.066726207733154,-28.66634178161621,4.935094356536865,-15.82792854309082,4.644326686859131,-7.780196666717529,3.595550298690796,0.7480447292327881,2.9447011947631836,-0.477336049079895,2.7522637844085693,1.0668531656265259,2.871868848800659,-2.0150222778320312,2.80641508102417,-0.3012675642967224,2.904059886932373,-2.5376181602478027,2.9275217056274414,-0.6247379779815674,2.801096200942993,1.2264320850372314,2.539027690887451,CA,952203,Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,2,20.0,30.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,570.2952270507812,1.8119472080486556,1694.5028571428572,0.3999292347924373,2.332940239653578,50647.455362272536,118157.48665070398,0.16787848876446088,0.2555515078903363,0.16977405458606198,0.3613981293135634,41.892230548050605,5.654042300510969,0.5605479387786686,0.008930578827857971,0.018079807981848717,0.11045790947014052,0.033458648721110665,2064.795475890157,420.32290786651384,2008.0941199265526,423.41667308801976,4136.694736168033,948.488184487088,-266.64007568359375,76.32439422607422,52.900386810302734,18.80010986328125,-14.028046607971191,12.374470710754395,9.510103225708008,6.775418281555176,0.03839375823736191,5.156082630157471,0.47364237904548645,6.101290225982666,-5.293238162994385,4.7440714836120605,-2.667118549346924,4.055598735809326,-3.2772345542907715,4.2213592529296875,2.7893974781036377,3.9414844512939453,-1.0139548778533936,3.837561845779419,0.6160969138145447,4.434165000915527,-4.68112850189209,4.075681686401367,CA,452094,Fulica americana,American Coot,Fulica americana,0,0.0,10.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,418.1458435058594,1.3316770546969168,756.0900226757369,0.6718767127793538,5.095269911931309,13500.631057664468,68789.35922020313,0.2768826991419253,0.5777837038328559,0.3772598991751037,0.3384586675145621,21.307115250784147,4.106533836555234,0.7363272904094376,0.009346011094748974,0.01167369820177555,0.21050067696135832,0.021035564556714858,3071.8014839498205,212.40975108673996,2171.888133518878,324.37778748871153,5082.642802254099,914.5822915474923,-190.9018096923828,35.896881103515625,50.06139373779297,7.901041507720947,-18.487943649291992,11.708471298217773,-16.798208236694336,6.950839519500732,-4.894038200378418,5.33295202255249,-3.279362440109253,4.934981346130371,-0.5618795156478882,5.05526876449585,2.0849063396453857,4.306820869445801,3.151522397994995,4.146470069885254,2.3064887523651123,3.2035462856292725,0.1686168611049652,3.1715943813323975,0.7430135011672974,3.2476842403411865,0.27924031019210815,3.4159164428710938,CA,172887,Mareca americana,American Wigeon,Mareca americana,0,0.0,10.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,437.7266540527344,2.1831868679118576,480.5668480725624,0.9701336102314926,65.96490655555877,500.38336424992565,33007.741864702475,0.1266684074105131,0.5893216225107434,0.2935874570842988,0.23172458399518747,54.493715195065995,5.665342108246544,0.7367458215592798,0.006652150768786669,0.007954944856464863,0.49700398858313816,0.08544208657877435,5515.5437057001645,716.9362663100155,2827.490624924332,454.12964748026286,8804.987272669057,653.6335727386142,-207.0276336669922,42.472293853759766,-5.638371467590332,17.813793182373047,5.744419097900391,8.939881324768066,-1.5237013101577759,6.0527024269104,-4.270699501037598,5.869710922241211,2.1565980911254883,7.166596412658691,0.2446848303079605,6.080827713012695,2.3550755977630615,4.412888050079346,0.16411231458187103,3.94456148147583,0.20155853033065796,3.9692094326019287,0.6500377058982849,3.6964199542999268,-1.2199888229370117,3.3259527683258057,-0.43372592329978943,2.5315918922424316,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,0,0.0,10.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,442.07464599609375,2.0139866061408864,593.5816326530612,0.9830642789427194,117.09358416069466,592.5703743380534,69386.1889986872,0.21642808647905487,0.7105061523256939,0.4140418684822985,0.2232881697403969,27.488096746163514,3.836171520887982,0.7030609588207767,0.008667428977787495,0.012261305004358292,0.5079691616656908,0.08358950901341403,5600.493778405178,747.9582597589439,2803.7104137037823,505.1461472416802,8896.389920594262,501.3427542586982,-201.57557678222656,23.484373092651367,-6.125092506408691,21.403335571289062,9.177848815917969,10.67508316040039,-2.0161244869232178,7.742443561553955,-6.069419860839844,7.446173667907715,1.9141273498535156,7.464460849761963,-0.3180016577243805,6.726136207580566,2.0676257610321045,5.199945449829102,1.3159741163253784,4.177594184875488,1.315631628036499,3.7952940464019775,1.0877231359481812,3.427030563354492,-0.835599422454834,3.0520386695861816,0.12472337484359741,2.9767425060272217,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,1,10.0,20.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,453.1241455078125,2.0134793263493624,713.5327437641723,0.9943756317151948,354.5954906799504,425.5969966621099,150914.77586331408,0.16172776630935126,0.5249617673103528,0.32787053597186855,0.2389544702791635,20.74601104720711,3.681266495573146,0.7336881568940962,0.012761655263602734,0.018063265830278397,0.519136737046253,0.0951895401090716,5820.892487113388,972.6210017274791,2674.0042088393543,613.35297184347,8906.627017161885,514.0757829263505,-197.67703247070312,25.76760482788086,-12.543645858764648,27.622859954833984,10.321232795715332,12.937705039978027,-2.2989258766174316,6.327034950256348,-3.460104465484619,6.243716716766357,2.003389835357666,7.591555118560791,-1.895163655281067,6.336116790771484,2.753183603286743,5.027741432189941,0.4379501938819885,4.376733303070068,1.4274861812591553,4.008846759796143,0.9790807962417603,3.779383420944214,-0.5170692801475525,3.1619009971618652,-0.23871232569217682,3.1103084087371826,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,2,20.0,30.0,10.0,False,48000,1,False,False,False,False,False,False
10.0,479.4544982910156,2.1448315696974833,907.4865306122449,0.9951390902446995,410.4456142328318,540.9158082441232,222016.52116300783,0.10238216557933699,0.35018653152033763,0.1894478922648527,0.22860520684541707,21.062862253297443,3.597933964962184,0.7336622474011686,0.01665918342769146,0.021160146221518517,0.5322528633635831,0.09978892946166616,5958.25424625204,952.7761497024101,2634.5451911868163,569.1607403208028,8932.118900486681,538.9931247336345,-189.0921173095703,31.497011184692383,-18.423812866210938,27.79681968688965,10.177569389343262,11.561690330505371,2.054659605026245,7.865367889404297,-5.543176651000977,7.625306606292725,-1.604901909828186,9.330257415771484,0.17600251734256744,8.010902404785156,1.8885031938552856,6.6399455070495605,1.7355087995529175,5.542944431304932,2.453089475631714,4.686203479766846,3.456855058670044,3.9285783767700195,0.45233362913131714,3.2005515098571777,-0.21074774861335754,3.0582501888275146,CA,449497,Calypte anna,Anna's Hummingbird,Calypte anna,3,30.0,40.0,10.0,False,48000,1,False,False,False,False,False,False
