state,recording_id,common_name,scientific_name,quality,date,time,latitude,longitude,duration,audio_url,source_url,license,selection_seed,selection_method
CA,738058,Dusky Grouse,Dendragapus obscurus,B,2022-07-13,19:30,40.646,-115.3812,0:28,https://xeno-canto.org/738058/download,https://xeno-canto.org/738058,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,135438,Eastern Whip-poor-will,Antrostomus vociferus,A,2013-05-27,21:00,37.0091,-121.8574,1:00,https://xeno-canto.org/135438/download,https://xeno-canto.org/135438,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,212892,Egyptian Goose,Alopochen aegyptiaca,A,2015-02-10,17:00,33.6377,-117.6409,0:25,https://xeno-canto.org/212892/download,https://xeno-canto.org/212892,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,541633,Eurasian Collared Dove,Streptopelia decaocto,B,2020-04-03,06:35,32.6003,-116.8419,2:15,https://xeno-canto.org/541633/download,https://xeno-canto.org/541633,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,297470,Gadwall,Mareca strepera,B,2015-03-18,09:30,35.0307,-120.6205,0:24,https://xeno-canto.org/297470/download,https://xeno-canto.org/297470,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,357823,Gambel's Quail,Callipepla gambelii,B,2017-02-15,7:40,32.9694,-115.5552,0:47,https://xeno-canto.org/357823/download,https://xeno-canto.org/357823,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,163986,Greater Roadrunner,Geococcyx californianus,B,2012-03-11,11:42,32.544,-117.109,0:06,https://xeno-canto.org/163986/download,https://xeno-canto.org/163986,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,445707,Greater White-fronted Goose,Anser albifrons,A,2018-12-06,12:07,39.1753,-122.0482,0:11,https://xeno-canto.org/445707/download,https://xeno-canto.org/445707,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,964290,Green-winged Teal,Anas carolinensis,B,2025-01-16,14:47,35.3217,-120.842,2:21,https://xeno-canto.org/964290/download,https://xeno-canto.org/964290,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,562113,Inca Dove,Columbina inca,B,2020-05-25,06:30,33.4079,-114.6582,0:32,https://xeno-canto.org/562113/download,https://xeno-canto.org/562113,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,490945,Lesser Nighthawk,Chordeiles acutipennis,A,2018-07-06,20:30,38.71,-122.0428,0:24,https://xeno-canto.org/490945/download,https://xeno-canto.org/490945,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,574653,Lesser Scaup,Aythya affinis,B,2018-06-10,10:40,40.1756,-115.4798,0:12,https://xeno-canto.org/574653/download,https://xeno-canto.org/574653,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,527676,Mallard,Anas platyrhynchos,B,2020-02-09,8:37,35.329,-120.4782,0:21,https://xeno-canto.org/527676/download,https://xeno-canto.org/527676,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,134480,Mexican Whip-poor-will,Antrostomus arizonae,B,2013-05-21,21:55,34.219,-116.8064,1:11,https://xeno-canto.org/134480/download,https://xeno-canto.org/134480,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,282613,Mountain Quail,Oreortyx pictus,B,2015-04-08,07:08,32.7765,-116.4505,3:26,https://xeno-canto.org/282613/download,https://xeno-canto.org/282613,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,286968,Mourning Dove,Zenaida macroura,B,2015-05-03,07:49,32.6287,-116.923,1:46,https://xeno-canto.org/286968/download,https://xeno-canto.org/286968,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,574647,Northern Bobwhite,Colinus virginianus,B,2020-07-04,19:00,34.2008,-118.6528,0:25,https://xeno-canto.org/574647/download,https://xeno-canto.org/574647,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,621202,Northern Pintail,Anas acuta,B,2021-02-12,08:31,32.564,-117.1256,0:45,https://xeno-canto.org/621202/download,https://xeno-canto.org/621202,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,168805,Northern Shoveler,Spatula clypeata,A,2013-02-09,07:30,36.0753,-115.0101,0:31,https://xeno-canto.org/168805/download,https://xeno-canto.org/168805,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,348974,Redhead,Aythya americana,B,2017-01-02,10:16,32.7896,-117.0443,0:07,https://xeno-canto.org/348974/download,https://xeno-canto.org/348974,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,283095,Ridgway's Rail,Rallus obsoletus,A,2015-04-21,08:47,32.564,-117.1256,0:16,https://xeno-canto.org/283095/download,https://xeno-canto.org/283095,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,488173,Rock Dove,Columba livia,B,2019-07-18,06:55,32.6185,-117.1029,0:17,https://xeno-canto.org/488173/download,https://xeno-canto.org/488173,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
