recording_id,state,common_name,scientific_name,audit_action,audit_reason,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,file_size_bytes,duration_seconds,rms,peak_amplitude,quality
363448,CA,American Coot,Fulica americana,KEEP,none,False,False,False,False,False,2738823,68.290125,0.011589497327804565,0.562472403049469,B
17795,CA,American Wigeon,Mareca americana,KEEP,none,False,False,False,False,False,239432,19.48063492063492,0.026940099895000458,0.45025181770324707,A
695151,CA,Anna's Hummingbird,Calypte anna,KEEP,none,False,False,False,False,False,539370,33.408,0.016607120633125305,0.7007120251655579,B
585340,CA,Band-tailed Pigeon,Patagioenas fasciata,KEEP,none,False,False,False,False,False,214520,13.104,0.032336000353097916,0.3106769323348999,B
167459,CA,Black Rail,Laterallus jamaicensis,KEEP,none,False,False,False,False,False,170584,10.3,0.05145227164030075,0.4522785544395447,B
547258,CA,Black-chinned Hummingbird,Archilochus alexandri,KEEP,none,False,False,False,False,False,218448,18.31925,0.01891302689909935,0.7068424224853516,B
964250,CA,Blue-winged Teal,Spatula discors,KEEP,none,False,False,False,False,False,3395243,23.5771875,0.07453314960002899,0.7943282127380371,B
163344,CA,Brant Goose,Branta bernicla,KEEP,none,False,False,False,False,False,235975,14.448,0.04790395125746727,0.7642827033996582,B
877615,CA,Broad-billed Hummingbird,Cynanthus latirostris,KEEP,none,False,False,False,False,False,282794,17.352,0.03225179761648178,0.21792128682136536,A
652385,CA,Broad-tailed Hummingbird,Selasphorus platycercus,KEEP,none,False,False,False,False,False,389285,23.974739229024944,0.0464215986430645,0.951076328754425,B
361920,CA,Bufflehead,Bucephala albeola,FLAG,low_amplitude,False,True,False,False,True,60129,3.456,0.006774074863642454,0.14056077599525452,A
361084,CA,Cackling Goose,Branta hutchinsii,KEEP,none,False,False,False,False,False,262986,16.128,0.02983994223177433,0.7031810283660889,B
584999,CA,California Quail,Callipepla californica,KEEP,none,False,False,False,False,False,1323891,82.44,0.036174338310956955,0.7084659934043884,A
1152009,CA,Calliope Hummingbird,Selasphorus calliope,FLAG,clipping,False,False,True,False,True,322482,20.076979166666668,0.053438324481248856,1.0020400285720825,B
317033,CA,Canada Goose,Branta canadensis,KEEP,none,False,False,False,False,False,1399652,34.7975,0.019298825412988663,0.5541244149208069,A
666132,CA,Chukar Partridge,Alectoris chukar,KEEP,none,False,False,False,False,False,355007,21.837233560090702,0.033326346427202225,0.6293778419494629,B
510630,CA,Cinnamon Teal,Spatula cyanoptera,KEEP,none,False,False,False,False,False,839864,69.576,0.013600742444396019,0.6932483911514282,B
223349,CA,Common Gallinule,Gallinula galeata,KEEP,none,False,False,False,False,False,198321,16.023,0.022074947133660316,0.5604175329208374,A
345878,CA,Common Ground Dove,Columbina passerina,KEEP,none,False,False,False,False,False,898837,55.872,0.011495290324091911,0.1724298596382141,B
423314,CA,Common Nighthawk,Chordeiles minor,KEEP,none,False,False,False,False,False,289636,23.736,0.020097512751817703,0.512785017490387,B
578134,CA,Common Pheasant,Phasianus colchicus,KEEP,none,False,False,False,False,False,1105347,68.784,0.01923508569598198,0.551218569278717,A
533394,CA,Common Poorwill,Phalaenoptilus nuttallii,KEEP,none,False,False,False,False,False,1166815,51.9664375,0.06521571427583694,0.608532726764679,B
799409,CA,Costa's Hummingbird,Calypte costae,KEEP,none,False,False,False,False,False,6184832,70.07637188208616,0.011855530552566051,0.329803466796875,A
135420,CA,Eastern Whip-poor-will,Antrostomus vociferus,FLAG,clipping,False,False,True,False,True,6005550,300.0,0.12593209743499756,1.002970814704895,B
195342,CA,Egyptian Goose,Alopochen aegyptiaca,KEEP,none,False,False,False,False,False,938817,58.29079365079365,0.029676377773284912,0.9342703819274902,A
481134,CA,Eurasian Collared Dove,Streptopelia decaocto,KEEP,none,False,False,False,False,False,783911,32.36571428571428,0.03697844594717026,0.5794879198074341,B
779907,CA,Gadwall,Mareca strepera,FLAG,short_duration,True,False,False,False,True,45835,2.568,0.013386812061071396,0.28656715154647827,B
475180,CA,Gambel's Quail,Callipepla gambelii,KEEP,none,False,False,False,False,False,1196469,49.656,0.03952549025416374,0.6402847170829773,A
465656,CA,Greater Roadrunner,Geococcyx californianus,KEEP,none,False,False,False,False,False,6672329,166.61272916666667,0.044092293828725815,0.5621788501739502,B
150244,CA,Greater White-fronted Goose,Anser albifrons,KEEP,none,False,False,False,False,False,171589,10.224,0.02635825239121914,0.30765897035598755,B
757764,CA,Green-winged Teal,Anas carolinensis,KEEP,none,False,False,False,False,False,2293440,15.9015625,0.039621736854314804,0.7079250812530518,B
551487,CA,Inca Dove,Columbina inca,KEEP,none,False,False,False,False,False,347453,14.28,0.027721893042325974,0.2257334589958191,B
132209,AZ,Allen's Hummingbird,Selasphorus sasin,FLAG,low_amplitude,False,True,False,False,True,137414,8.280816326530612,0.004214398097246885,0.06140702962875366,B
700909,AZ,American Wigeon,Mareca americana,FLAG,low_amplitude,False,True,False,False,True,1724635,107.472,0.00847210455685854,0.2374551147222519,B
452506,AZ,Anna's Hummingbird,Calypte anna,KEEP,none,False,False,False,False,False,92012,5.448,0.054116856306791306,0.6846784353256226,B
491895,AZ,Band-tailed Pigeon,Patagioenas fasciata,KEEP,none,False,False,False,False,False,1337672,83.304,0.014104366302490234,0.15243439376354218,A
145957,AZ,Berylline Hummingbird,Saucerottia beryllina,FLAG,low_amplitude,False,True,False,False,True,569441,35.265306122448976,0.0067330761812627316,0.2949511706829071,B
728080,AZ,Black-bellied Whistling Duck,Dendrocygna autumnalis,KEEP,none,False,False,False,False,False,221112,19.65328798185941,0.043785493820905685,0.7112007141113281,B
132328,AZ,Black-chinned Hummingbird,Archilochus alexandri,KEEP,none,False,False,False,False,False,203154,12.38204081632653,0.010889771394431591,0.13250383734703064,B
132452,AZ,Blue-throated Mountaingem,Lampornis clemenciae,KEEP,none,False,False,False,False,False,89302,5.276734693877551,0.017239509150385857,0.24050766229629517,A
772323,AZ,Broad-billed Hummingbird,Cynanthus latirostris,KEEP,none,False,False,False,False,False,6577792,45.653979166666666,0.027348924428224564,0.6523987054824829,B
132844,AZ,Broad-tailed Hummingbird,Selasphorus platycercus,FLAG,clipping,False,False,True,False,True,732249,45.453061224489794,0.03147106245160103,1.0141608715057373,B
251890,AZ,Buff-collared Nightjar,Antrostomus ridgwayi,KEEP,none,False,False,False,False,False,245815,14.9946875,0.012080810964107513,0.10135369747877121,A
710475,AZ,Bufflehead,Bucephala albeola,FLAG,low_amplitude,False,True,False,False,True,2531785,157.92,0.005592679604887962,0.23036381602287292,A
132948,AZ,Calliope Hummingbird,Selasphorus calliope,FLAG,low_amplitude,False,True,False,False,True,537803,33.28,0.0027192519046366215,0.05306903272867203,B
511453,AZ,Canada Goose,Branta canadensis,KEEP,none,False,False,False,False,False,475303,19.369002267573695,0.15657441318035126,0.9160377383232117,B
611977,AZ,Cinnamon Teal,Spatula cyanoptera,KEEP,none,False,False,False,False,False,140062,8.448,0.01045591477304697,0.10297536104917526,B
